Pd_bus1,Qd_bus1,Pd_bus2,Qd_bus2,Pd_bus3,Qd_bus3,Pd_bus4,Qd_bus4,Pd_bus5,Qd_bus5,Pd_bus6,Qd_bus6,Pd_bus7,Qd_bus7,Pd_bus8,Qd_bus8,Pd_bus9,Qd_bus9,Pd_bus10,Qd_bus10,Pd_bus11,Qd_bus11,Pd_bus12,Qd_bus12,Pd_bus13,Qd_bus13,Pd_bus14,Qd_bus14,Pd_bus15,Qd_bus15,Pd_bus16,Qd_bus16,Pd_bus17,Qd_bus17,Pd_bus18,Qd_bus18,Pd_bus19,Qd_bus19,Pd_bus20,Qd_bus20,Pd_bus21,Qd_bus21,Pd_bus22,Qd_bus22,Pd_bus23,Qd_bus23,Pd_bus24,Qd_bus24,Pd_bus25,Qd_bus25,Pd_bus26,Qd_bus26,Pd_bus27,Qd_bus27,Pd_bus28,Qd_bus28,Pd_bus29,Qd_bus29,Pd_bus30,Qd_bus30,Pd_bus31,Qd_bus31,Pd_bus32,Qd_bus32,Pd_bus33,Qd_bus33,Pd_bus34,Qd_bus34,Pd_bus35,Qd_bus35,Pd_bus36,Qd_bus36,Pd_bus37,Qd_bus37,Pd_bus38,Qd_bus38,Pd_bus39,Qd_bus39,Pg_gen1,Qg_gen1,Pg_gen2,Qg_gen2,Pg_gen3,Qg_gen3,Pg_gen4,Qg_gen4,Pg_gen5,Qg_gen5,Pg_gen6,Qg_gen6,Pg_gen7,Qg_gen7,Pg_gen8,Qg_gen8,Pg_gen9,Qg_gen9,Pg_gen10,Qg_gen10
107.1060343,41.01088727,0,0,361.9858018,2.313533086,516.6154461,166.8772286,0,0,0,0,256.5399329,82.67256617,541.2091857,178.5275987,7.021767738,-63.04874748,0,0,0,0,7.732690881,88.01728262,0,0,0,0,298.4864175,145.6709933,368.7495339,32.26217861,0,0,176.309248,33.70858697,0,0,752.4175579,113.361003,310.712987,118.4697136,0,0,269.6584577,96.18527975,332.0346103,-105.9277181,239.4408233,45.47692807,152.0243381,16.60354466,284.6002345,68.96527296,208.2714591,31.20634244,298.3846865,29.94175387,0,0,10.26667181,5.217231211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1179.331896,279.5039802,250,163.5432754,1103.335628,367.4245655,650,238.501983,632,114.5929001,508,176.8802235,650,216.9892892,560,105.1239234,540,5.800140751,830,27.80224005,1000,134.5950098
93.16368736,49.70841576,0,0,316.060165,2.68196376,553.024467,184.9991661,0,0,0,0,260.366442,93.22972692,483.4436675,182.0730992,7.356985948,-68.1815402,0,0,0,0,7.764308445,93.38059806,0,0,0,0,310.8306326,157.5019459,316.8033029,32.43703833,0,0,149.7795135,27.55295649,0,0,714.2867264,98.18028681,278.6276179,117.3032171,0,0,283.3645329,95.20919624,312.6498442,-99.79220515,222.1031268,42.51106573,131.3463738,19.2909561,256.6211981,68.90836806,204.2850371,28.24257845,266.9359092,29.95204522,0,0,9.373786205,4.504083345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1227.010035,240.896927,250,168.9492641,830.8745263,273.4447518,650,224.7059989,632,108.3623926,508,165.7578712,650,214.1064933,560,103.8105831,540,-2.669172591,830,24.49233042,1000,98.371117
92.74125107,41.57265886,0,0,326.0744903,2.473656617,562.3215861,194.4227073,0,0,0,0,251.0400713,80.64580875,590.4013003,161.0514114,6.150043539,-70.09290453,0,0,0,0,7.68504009,96.40774004,0,0,0,0,319.053406,141.7139618,334.2853022,36.02015968,0,0,142.4579566,31.2569221,0,0,656.6632785,101.1876162,259.7834205,124.6423029,0,0,231.3656952,95.15969827,345.1389057,-83.38657308,237.6560535,49.19532182,155.0512465,18.20245389,263.7239558,70.60875404,198.3409327,27.79180157,267.2386821,24.45883595,0,0,8.411287149,4.630709087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1208.109122,263.3181857,250,172.1894815,891.078344,290.6415883,650,228.8189562,632,115.6237736,508,168.5005021,650,226.2274585,560,110.5173113,540,3.856644163,830,23.83715282,1000,112.0691557
106.6249051,40.34152217,0,0,334.9367702,2.340217854,519.0960751,176.6493991,0,0,0,0,247.8210671,79.35062949,560.2086277,193.7322195,6.714740773,-68.88620849,0,0,0,0,8.043680154,91.2182297,0,0,0,0,302.7400835,164.2513151,360.6353716,34.72298088,0,0,155.6358243,33.24076207,0,0,706.0026497,93.98708658,296.7305464,118.0663418,0,0,258.6962247,77.61108967,312.1607513,-86.24952377,211.8199003,47.42679349,136.3733933,15.62318367,296.1103334,83.54852811,196.3680089,29.87689731,316.2469243,24.46310233,0,0,8.952865566,4.341654951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1180.917501,253.1386292,250,169.6335687,947.5720683,313.7062964,650,234.3721434,632,113.8752081,508,166.1385141,650,217.882466,560,103.0370453,540,4.229233042,830,24.86636291,1000,104.5407534
108.9014353,48.26926258,0,0,325.8314946,2.425132182,458.4762103,167.5994745,0,0,0,0,256.5409705,95.56003402,505.4120419,196.9701064,6.511096402,-74.21887931,0,0,0,0,8.208390549,83.96972466,0,0,0,0,341.9157573,157.1990864,368.6256882,32.63366285,0,0,162.1840231,30.7977722,0,0,649.402031,102.2197866,297.751975,105.7154748,0,0,272.0848164,89.10062322,318.07043,-87.99348266,246.6898859,52.97399112,149.6655174,17.16695911,300.852722,84.04564786,188.2057381,31.70995564,265.5614931,24.3289088,0,0,10.08604493,5.223297617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1043.759445,277.1741408,250,163.8131277,707.8281199,234.48564,650,211.1823499,632,111.024264,508,166.599461,650,212.8298652,560,102.7807642,540,7.19128825,830,28.87436031,1000,103.9230822
99.02204045,49.7480617,0,0,361.8605838,2.390235662,484.5202794,193.751285,0,0,0,0,265.9917784,88.0462496,544.4287164,187.6562165,6.923302252,-65.37019441,0,0,0,0,8.393706663,80.62211993,0,0,0,0,298.9012564,162.2687975,368.5021436,33.12496323,0,0,178.0885297,33.34424293,0,0,659.1567909,103.2339225,279.5224165,103.9024882,0,0,247.2266693,97.09678481,320.2519539,-94.38052178,248.9210856,52.90586142,137.3607184,16.87738409,277.6835379,82.35209575,190.0027776,28.11418143,322.1619248,28.11019584,0,0,9.831475329,4.347557543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1004.493466,262.9116742,250,165.072394,735.2518665,244.4094889,650,216.7066774,632,112.9211141,508,168.246483,650,217.0973154,560,106.3883446,540,8.858735647,830,26.13732077,1000,94.07326538
111.4451987,47.0163435,0,0,292.7867661,2.474916738,458.6837226,193.1231206,0,0,0,0,236.0745335,92.38451417,475.9933966,168.1820557,7.088542529,-73.9432387,0,0,0,0,9.773949808,85.44162417,0,0,0,0,295.7089112,139.086918,312.6546669,36.92767671,0,0,172.9701446,29.7117357,0,0,760.0216396,105.6634099,295.4830467,126.5758784,0,0,236.7377003,84.22924276,279.7214777,-89.65544786,206.6635416,47.37549992,154.6068469,18.63965532,291.3861722,83.61006642,232.3895702,31.00336166,269.8250945,30.6968353,0,0,9.254426453,5.204457958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1223.766466,252.380327,250,166.5072736,757.2160501,243.1166277,650,210.5820296,632,111.2851285,508,172.1822503,650,215.3006302,560,101.812391,540,1.385109759,830,31.3434402,1000,96.91053067
100.9110358,41.36361391,0,0,332.8947926,2.607985616,550.6914731,186.6174003,0,0,0,0,245.6128403,92.74098117,505.0654227,197.6613191,5.86268262,-59.95642776,0,0,0,0,9.425406359,88.97857971,0,0,0,0,288.1537805,151.7116085,336.1668769,31.58521684,0,0,142.3027775,32.55578391,0,0,667.5075541,117.6923957,300.6602233,105.6365399,0,0,236.0432856,81.32157526,346.3506463,-88.05204675,218.8777439,45.33434371,142.8090519,19.27308781,292.3170404,68.42448958,199.1475722,31.22004339,324.3208504,29.04735472,0,0,9.329206794,4.159061708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1266.773315,243.1099412,250,170.5474293,947.3014574,321.396434,650,239.6117449,632,117.5283922,508,177.1454083,650,214.3317008,560,102.1745638,540,3.375455136,830,26.36922103,1000,117.2268541
111.5227388,44.8969508,0,0,306.7504581,2.344737417,510.3512236,198.3410793,0,0,0,0,267.0802882,83.12005599,525.8762528,196.7107319,6.510730371,-73.66959809,0,0,0,0,7.917764116,85.60165118,0,0,0,0,364.0350792,155.152047,371.4889498,31.83641503,0,0,151.0000025,32.20374635,0,0,748.2498131,101.0543991,282.3167271,108.2952777,0,0,248.5885722,78.35696544,349.3113142,-91.89272371,237.6829914,49.67986297,143.0672594,18.55883613,265.7979099,79.9652671,202.0201586,29.77756614,306.4068076,27.88958047,0,0,10.07362458,4.43643514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1039.506577,251.1087395,250,163.7827806,877.5553959,288.1695342,650,227.7755695,632,112.6122129,508,170.2759886,650,211.3821121,560,100.0391721,540,7.949884687,830,27.64623085,1000,82.38425463
93.35266471,50.57161345,0,0,341.2271748,2.372029172,487.361537,196.4758777,0,0,0,0,261.3250657,82.97678994,570.8260656,170.6856279,6.851190337,-64.78150686,0,0,0,0,8.959361307,95.57758503,0,0,0,0,334.1967132,144.6515356,357.876514,33.66459544,0,0,181.3380391,31.08682247,0,0,740.4051222,116.8789709,299.618464,131.4101853,0,0,259.4945832,76.55086019,351.1086755,-87.83684208,207.1758475,43.27418621,140.6256677,18.02465524,272.0342918,75.56967992,206.3549015,29.63754616,259.8984775,30.32464993,0,0,8.835760192,4.607832295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1083.924709,247.2434941,250,169.8922698,897.5219105,292.5222209,650,229.0235333,632,119.3199267,508,180.1982568,650,219.6333523,560,103.2410181,540,2.598216397,830,31.29280065,1000,89.98032064
